number,part,slug,quantity,material,stl_in_zip,bbox_mm,orientation_note,source,step
17,Power Support,microduck-power-support,1,PLA,PLA/17 Power Support x1.stl,"[54.5, 17.0, 83.1]",auto-orient: tall cradle laid on its back to cut supports,Current CAD revision,yes
18,Shin,microduck-shin,2,PLA,PLA/18 Shin x2.stl,"[8.0, 20.0, 58.0]","8 mm plate flat, rim walls up",our parametric rebuild (latest PASS refcheck ours.stl),yes
22,Top Head Shell,microduck-top-head-shell,1,PLA,PLA/22 Top Head Shell x1.stl,"[91.8, 122.7, 46.3]","dome up, rim down (auto-orient confirms)",vendor mesh as shelved (ce-parts iterations geometry),no solid CAD source
23,Trunk Base,microduck-trunk-base,1,PLA,PLA/23 Trunk Base x1.stl,"[57.0, 36.0, 3.0]","flat plate: largest face down, holes vertical",our parametric rebuild (latest PASS refcheck ours.stl),yes
24,Trunk Shell Left,microduck-trunk-shell-left,1,PLA,PLA/24 Trunk Shell Left x1.stl,"[33.7, 80.9, 41.7]","shell: flat rim (mating face) down, dome up",vendor mesh as shelved (ce-parts iterations geometry),no solid CAD source
25,Trunk Shell Right,microduck-trunk-shell-right,1,PLA,PLA/25 Trunk Shell Right x1.stl,"[31.8, 80.9, 41.7]","shell: flat rim (mating face) down, dome up",vendor mesh as shelved (ce-parts iterations geometry),no solid CAD source
26,Upper Leg Left,microduck-upper-leg-left,1,PLA,PLA/26 Upper Leg Left x1.stl,"[28.0, 47.7, 61.0]",auto-orient: servo cavity opening up,Current CAD revision,yes
27,Upper Leg Right,microduck-upper-leg-right,1,PLA,PLA/27 Upper Leg Right x1.stl,"[28.0, 47.7, 61.0]",auto-orient: servo cavity opening up,Current CAD revision,yes
28,Upper Leg Rigidity Plate,microduck-upper-leg-rigidity-plate,2,PLA,PLA/28 Upper Leg Rigidity Plate x2.stl,"[1.0, 45.0, 58.1]",1 mm plate dead flat on the bed,"vendor mesh (Pollen reference asset, loaded as-is)",no solid CAD source
29,Yaw Roll Motion,microduck-yaw-roll-motion,1,PLA,PLA/29 Yaw Roll Motion x1.stl,"[34.0, 35.9, 22.5]",auto-orient: both bearing bores vertical,Current CAD revision,yes
30,Yaw2Roll,microduck-yaw2roll,2,PLA,PLA/30 Yaw2Roll x2.stl,"[23.0, 25.8, 20.5]","auto-orient: servo pocket up, bearing bore vertical",our parametric rebuild (latest PASS refcheck ours.stl),yes
12,Jaw Soft,microduck-jaw-soft,1,TPU,TPU/12 Jaw Soft x1.stl,"[87.7, 32.2, 8.4]",8.4 mm lip flat on the bed,vendor mesh as shelved (ce-parts iterations geometry),no solid CAD source
19,Soft Mouth Top,microduck-soft-mouth-top,1,TPU,TPU/19 Soft Mouth Top x1.stl,"[87.8, 32.6, 3.3]",3.3 mm lip flat on the bed,vendor mesh as shelved (ce-parts iterations geometry),no solid CAD source
20,Sole Left,microduck-sole-left,1,TPU,TPU/20 Sole Left x1.stl,"[41.1, 54.0, 12.9]","sole tread face down, dead flat",vendor mesh as shelved (ce-parts iterations geometry),no solid CAD source
21,Sole Right,microduck-sole-right,1,TPU,TPU/21 Sole Right x1.stl,"[41.1, 54.0, 12.9]","sole tread face down, dead flat",vendor mesh as shelved (ce-parts iterations geometry),no solid CAD source
