id,packet,item,中文,category,qty per robot,qty for 10 robots,qty for 100 robots,exact part (MPN),identity status,verdict,what to do now,现在怎么做,specification for the supplier,best price we read (unit),currency,read from vendor,open questions
B12,F,"Speaker, reference envelope 35 x 25 x 7 mm (head); original electrical specification unknown",喇叭 35×25×7mm 8Ω 2W（待核实）,module,1,10,100,CANNOT DETERMINE - original unit speaker not identified; local reference mesh is a 12-triangle placeholder,"unknown original; one priced conditional dimensional candidate, historical oversized offers rejected",CANNOT DETERMINE,"Buy one cheap candidate, measure, then confirm.",先买一个便宜候选，量尺寸后确认。,"Identify the original speaker first. Reference placeholder is 35.0 x 25.0 x 7.0 mm, not a measured cavity tolerance. Conditional sourcing target 8 ohm nominal, 2 W; these electrical values are representative assumptions. Request dimensioned drawing including connector/tabs, impedance, SPL test conditions, resonance and lead polarity; verify assembled acoustic and mechanical fit.",2.95000,USD,ABRA Electronics,"Original manufacturer/order code, impedance, rated power, SPL, resonance, mounting and connector identity remain unknown. | 35 x 25 x 7 mm is a 12-triangle reference placeholder, not a measured head cavity or fit tolerance. | ABRA numeric stock, MOQ, production supply, lead time and landed quote at 1/100/1000 remain unknown; current retail extensions are not volume quotes. | Thingbits electrical specifications conflict; Reichelt H variant dimensions are unverified. Historical oversized alternatives cannot be selected."
B13,F,Microphone(s),麦克风（型号未定）,module,,,,CANNOT DETERMINE,unknown,CANNOT DETERMINE,Not quotable yet (type and count unknown).,暂无法报价（类型、数量未定）。,"NOT QUOTABLE. Type (electret vs MEMS), count, package, sensitivity, position and connector are all unknown; there is no mesh for it in the MJCF, so even the cable length is unmeasurable (wiring/CABLES.md row 19 = CANNOT DETERMINE). No RFQ can be written until a production unit is opened.",,,,"Part number, type, count, position and connector: all CANNOT DETERMINE (ce-parts/microduck-mic/component.json)."
B14,D,NFC reader IC + 2 antennas (head and beak),NFC 读卡芯片 + 2 个天线,ic,1,10,100,CANNOT DETERMINE which IC ships. Two candidates are fully characterised in ce-parts (both graded PASS there): NXP PN7150 and ST ST25R3916.,candidate set of two,PASS,Quote PN7150 or ST25R3916 route; whether the robot needs NFC at all is open.,报 PN7150 或 ST25R3916 方案；是否需要 NFC 尚未定。,"NFC Forum controller for reader/writer + card-emulation on 13.56 MHz, host interface I2C (PN7150, NCI) or SPI/I2C (ST25R3916), driving TWO antennas (head, beak) - state whether an RF switch is required. Antennas: not specified, quote a 13.56 MHz PCB or FPC antenna to suit a ~30 mm aperture.",5.39970,USD,LCSC,"Whether the shipped robot has NFC at all: nothing in Pollen's runtime source mentions it (docs/BOM.md B14); only the press kit does. | Which controller, how many, and the antenna part: CANNOT DETERMINE. | The roll-up below uses the CHEAPER candidate at each quantity and says so; that is a costing convenience, not a design decision."
B15,F,Camera-in-use indicator LED,摄像指示 LED,ic,1,10,100,CANNOT DETERMINE,unknown,CANNOT DETERMINE,Not quotable yet.,暂无法报价。,"NOT QUOTABLE - colour, package, brightness, GPIO and whether it is on the HAT or a flying lead are all unknown.",,,,"Part, colour, package, GPIO, mounting: CANNOT DETERMINE."
B16,F,Bluetooth gamepad (Xbox-style),蓝牙手柄（Xbox 布局）,module,1,10,100,CANNOT DETERMINE,unknown,CANNOT DETERMINE,Commodity; any Xbox-layout BT gamepad.,通用件；任意 Xbox 布局蓝牙手柄。,"Bluetooth HID gamepad, Xbox-compatible mapping, pairing to the Radxa's BT 5.4 radio. Model unspecified by Pollen.",,,,Model: CANNOT DETERMINE.
B17,F,USB-C cable,USB-C 线,connector,1,10,100,CANNOT DETERMINE,unknown,CANNOT DETERMINE,Commodity.,通用件。,"USB-C to USB-C or USB-A, length and current rating unspecified. Commodity.",,,,"Length, rating, whether it carries data or power only: CANNOT DETERMINE."
B18a,C,"M2 x 6 socket head cap screw, A2 stainless, DIN 912",M2×6 内六角螺丝 不锈钢,fastener,80,800,8000,DIN 912 / ISO 4762 M2x6 A2,standard,PASS,QUOTE ONLY; a cheap assortment set is fine. Thread form and lengths not final.,仅报价；便宜的套装可以买。牙型和长度未定。,"Hex socket head cap screw, M2 x 6 mm, A2 (304) stainless, DIN 912 / ISO 4762. Quantity per robot 80 (community-derived; a measured schedule is still open). Quote at 100 / 8 000 / 80 000 pieces.",0.04860,EUR,RST-Versand (DE),"A USD distributor: CANNOT DETERMINE. Accu (403, re-tried 2026-09-02), Bolt Depot (403), McMaster (blank), Misumi (403), Albany County (no price), Fastenal (403, tried 2026-09-02) and Westfield Fasteners (prices render only in JavaScript) all refused. | 1000+ piece pricing: CANNOT DETERMINE - the largest tier published anywhere read is 100 pieces. | The COUNT itself (80) is community-derived from mesh hole-fitting, not measured on a unit."
B18b,C,"M2 socket head cap screws, other lengths (x4, x8, x12) + M2 nuts + M2.5x6",M2 内六角螺丝其他长度 + M2 螺母 + M2.5×6,fastener,185,1850,18500,DIN 912 M2x4 / M2x8 / M2x12 A2; DIN 934 M2 nut A2; DIN 912 M2.5x6 A2,standard,CANNOT DETERMINE,Same as B18a.,同 B18a。,"Hex socket head cap screws DIN 912 / ISO 4762, A2 stainless: M2x4 (60), M2x8 (40), M2x12 (15), M2.5x6 (20). Hex nuts DIN 934 A2 M2 (50). Per robot; quote at 100 / 10 000 / 100 000.",,,,"A second distributor: CANNOT DETERMINE - Accu (403), Fastenal (403) and Westfield (JS-only prices) all refused on 2026-09-02. | M2.5x6 at any vendor: CANNOT DETERMINE. | A2 stainless M2 nuts: ModelFixings prices STEEL BZP nuts; the A2 equivalent was not read. | Whether these lengths are right at all: the counts and lengths come from hole-DEPTH inference on the meshes, not from a schedule. RELEASE.html §7 item 4 has this as an open factory blocker."
B18c,C,"M2 heat-set threaded inserts, brass, ~3.0 mm",M2 热熔铜螺母,fastener,60,600,6000,M2 x 3.0 mm brass heat-set insert (no single industry designation),"standard class, vendor-specific part",PASS,Quote 60 pcs class; assortment acceptable.,报 60 个左右；套装可以。,"Brass heat-set threaded insert, M2 internal thread, ~3.0 mm length, knurled, for installation into FDM PLA with a soldering iron. Lead and cadmium free. 60 per robot (community-derived).",0.11990,USD,Prusa Research (US shop),"No vendor publishes a tier above 100 pieces, so the @1000-robot price (60 000 inserts) is the 100-piece rate used as a CEILING."
B19a,A,PLA filament (hard printed parts),PLA 耗材 1.75mm,filament,0.2182946,2.1829460000000003,21.82946,"Bambu Lab PLA Basic, 1.75 mm, 1 kg spool",matches the sliced preset exactly,PASS,OK to buy 1 kg (Bambu PLA Basic or equal).,可买 1kg（拓竹 PLA Basic 或同级）。,"Bambu Lab PLA Basic, 1.75 mm, 1 kg spools. 0.2183 kg per robot -> 1 spool covers 4 robots. Colour per the product colourway (cream / graphite / sky). Quote spooled and refill.",22.99000,USD,GigaParts (US),"Volume tiers on filament: none published anywhere read. At 1 000 robots this is 218.3 kg of PLA - a quantity that certainly has a quote, and none exists here. | Bambu Lab's own store price: CANNOT DETERMINE (HTTP 402 to the fetcher); MatterHackers renders no price either."
B19b,A,"TPU filament (soft parts: soles x2, jaw_soft, soft_mouth_top)",TPU 85A 耗材 1.75mm,filament,0.0262028,0.262028,2.6202799999999997,"Bambu Lab TPU 85A, 1.75 mm, 1 kg spool",matches the sliced preset exactly,PASS,OK to buy 0.5-1 kg TPU 85A.,可买 0.5-1kg TPU 85A。,"Bambu Lab TPU 85A, 1.75 mm, 1 kg spools. 0.0262 kg per robot -> 1 spool covers 38 robots. NOT AMS-compatible (AMS HT only) - the print cell must feed it externally.",38.99000,USD,GigaParts (US),TPU durometer as Pollen ships it: CANNOT DETERMINE. | Volume tiers: none published.
P1c,D,TLV320AIC3104IRHBR stereo audio codec (on the Robot HAT),音频编解码芯片 TLV320AIC3104IRHBR,ic,1,10,100,TLV320AIC3104IRHBR,confirmed,PASS,Quote; buy only together with the PCB build.,报价；与 PCB 一起买。,"TI TLV320AIC3104IRHBR, low-power stereo audio codec, I2C control + I2S, VQFN-32. 1 per board.",2.25180,USD,LCSC,
P2c,D,"LSM6DSV16X 6-axis IMU (on the imu_to_dxl board, Dynamixel slave ID 200)",六轴 IMU LSM6DSV16X,ic,1,10,100,LSM6DSV16XTR,confirmed,PASS,Quote; long lead time reported (24 weeks at DigiKey).,报价；有报道交期长（DigiKey 24 周）。,"ST LSM6DSV16XTR, 6-axis IMU with on-chip sensor fusion (SFLP), LGA-14L 2.5 x 3.0 x 0.83 mm, I2C/SPI. 1 per imu_to_dxl board.",3.62980,USD,LCSC,"The MCU and the half-duplex transceiver on the same imu_to_dxl board are unidentified (docs/BOM.md P2), so this line prices ONE of the board's chips, not the board."
P1d,D,BMI088 6-axis IMU (dormant footprint on the Robot HAT),六轴 IMU BMI088（可选）,ic,1,10,100,BMI088,confirmed,PASS,Optional footprint; quote only.,可选位置；仅报价。,"Bosch Sensortec BMI088, 16-bit +/-24 g accelerometer + 16-bit +/-2000 dps gyroscope, LGA-16 3.0 x 4.5 x 0.95 mm, SPI/I2C. 1 per HAT if populated.",5.92000,USD,DigiKey (cut tape / Digi-Reel),Whether the HAT populates this at all: the footprint is described as dormant. If it is not populated this line is $0.
R1,D,USB-C CC/PD controller fitted on the Radxa ZERO 3W (reference line - NOT separately purchased),USB-C PD 控制芯片（参考，随 Radxa 板自带）,ic,0,0,0,"ET7301B (Radxa's U6). Pollen's device tree names FUSB302, which is the DRIVER name, not the fitted die (part:fusb302 record.title).","two names, one socket - resolved by lane C in favour of ET7301B on the schematic",CANNOT DETERMINE,"Reference only, never ordered separately.",仅参考，不单独采购。,"USB Type-C CC / USB-PD 2.0 controller, I2C address 0x22, register-compatible with the Linux fusb302 driver. Etek ET7301B (WLCSP9 / QFN14) is what Radxa's schematic v1.12 places; onsemi FUSB302BMPX (MLP-14 2.5x2.5) is the part the driver is named for and is the second-source footprint.",,,,"ET7301B price at any quantity: CANNOT DETERMINE. The manufacturer's datasheet is public (https://www.etekmicro.com/wp-content/uploads/datasheets/ET7301BY_datasheet.pdf) but no distributor with a price was found. | Whether a re-spin would keep the ET7301B (a Chinese-market part with no Western distribution) or move to the FUSB302: a design decision, not a sourcing one."
R2,D,"MCP73213 2S Li-ion charge controller (in the external charger, not the robot)",MCP73213 充电管理芯片（参考，在充电器内）,ic,0,0,0,MCP73213-A6SI/MF (DFN-10 3x3),family confirmed (part:mcp73213 verdict PASS); the exact option suffix a bespoke charger needs depends on the chosen float voltage (8.2 / 8.4 / 8.7 / 8.8 V),PASS,Reference only.,仅参考。,"Microchip MCP73213, dual-cell (2S) Li-ion linear charge management controller with input over-voltage protection, DFN-10 3x3. Float voltage option to be selected: 8.4 V for a standard 2S pack. Fast-charge current set by one external resistor, 130-1100 mA.",,,,Which option suffix a Microduck charger would need: depends on a float-voltage choice nobody has made. The two offers above are DIFFERENT suffixes and are not interchangeable on a purchase order.
R3,D,"S-8252 2S battery protection IC (inside the NP-F550 pack, not separately purchased)",S-8252 电池保护芯片（参考，在电池内）,ic,0,0,0,S-8252 series; exact suffix CANNOT DETERMINE (the series has ~30 detection-voltage options and the fitted pack is unidentified),"series confirmed, option unknown",CANNOT DETERMINE,Reference only.,仅参考。,"ABLIC S-8252 series protection IC for a 2-serial-cell Li-ion pack, SOT-23-6 or SNT-6A. Overcharge / overdischarge / overcurrent detection voltages to be selected against the pack's cells; the runtime's own thresholds are 6.6 V empty / 8.2 V full, which constrains the overdischarge option.",,,,"The suffix: CANNOT DETERMINE until a pack is opened and the marking read. | A second distributor for whatever suffix is right: not attempted, because there is nothing yet to look up."
C1,B,"JST EH 3-pin connector kit for the Dynamixel bus, if the harness is crimped rather than bought",JST EH 3pin 连接器套件（自制舵机线束用）,connector,1,10,100,JST EHR-3 (housing) + JST SEH-001T-P0.6 (crimp contact),confirmed - these are exactly the parts wiring/CABLES.md names,PASS,Only if we crimp our own harness; quote as alternative to B2.,仅在自制线束时需要；作为 B2 的替代报价。,"JST EH series, 2.50 mm pitch: EHR-3 3-position receptacle housing x 32 per robot; SEH-001T-P0.6 socket contact, 22-26 AWG, tin, x 96 per robot. Wire: 21 or 22 AWG per the voltage-drop check in wiring/CABLES.md (worst drop 0.550 V at 21 AWG, PASS).",,,,"Wire gauge and insulation as Pollen ships them: CANNOT DETERMINE; 21 AWG is our own check basis, not a measurement of the product."
C2,D,JST SH 4-pin (ToF / Stemma) and GH 2-pin (speaker) housings,JST SH 4pin / GH 2pin 连接器,connector,1,10,100,"JST SHR-04V-S-B (1.00 mm, 4 pos) + JST GHR-02V-S (1.25 mm, 2 pos)",SH 4-pin confirmed at the HAT's J5; the ToF-board end and the HAT speaker end are CANNOT DETERMINE,PASS,"Quote housings + crimp contacts, 2 of each per robot.",报壳体 + 端子，每台各 2 个。,"JST SH series 1.00 mm 4-position receptacle housing (SHR-04V-S-B) and JST GH series 1.25 mm 2-position receptacle housing (GHR-02V-S), with matching crimp contacts. 2 of each per robot.",,,,"Crimp contacts (SSHL-002T-P0.2 for SH, SSHL-002T-P0.2 / SGHD-001T-P0.2 for GH) were not priced - no page fetched. | The connector on the ToF board and on the HAT's speaker output: CANNOT DETERMINE (wiring/CABLES.md rows 17-18)."
P1,E,"Robot HAT - custom PCB, bare board + assembly",Robot HAT 定制 PCB,pcb,1,10,100,microduck_robot_hat (this repository's own design; fab package electronics/robot-hat/out/fab/microduck_robot_hat-fab.zip),"in-house design, DRC verdict FAIL - quotable as an outline and stackup, not releasable as artwork",FAIL,QUOTE BARE BOARD FROM GERBERS ONLY. Design has open DRC failures; do not fabricate.,仅按 Gerber 报裸板价。设计尚有 DRC 问题，不要投产。,"QUOTABLE NOW. Fab package: electronics/robot-hat/out/fab/microduck_robot_hat-fab.zip (Gerbers F/B.Cu, F/B.Mask, F/B.Silk, F/B.Paste, Edge.Cuts.GKO; PTH.drl + NPTH.drl; positions.csv; bom.csv). Board 65.0000 x 30.0000 mm bounding rectangle = 3.022506 sq in (routed outline 1939.24 mm2 = 3.005828 sq in), corner radius 3.5000 mm, 2 copper layers, FR-4 1.6 mm, 1 oz outer copper, green mask, white legend both sides. 28 placed parts, 21 nets, 859 tracks, 33 vias (0.800 mm pad / 0.300 mm drill), 97 drilled holes = 32.0926 per square inch. MINIMUM COPPER TRACK 0.1500 mm = 5.9055 mil, which is BELOW the 6 mil (0.1524 mm) floor that OSH Park and AdvancedPCB both publish and INSIDE JLCPCB's published 0.10/0.10 mm 2-layer process: quote it on a 4 mil process, or state the surcharge to hold 0.1500 mm on your standard one. Minimum drilled hole 0.3000 mm. Please quote (a) bare boards and (b) turnkey assembly against the shipped bom.csv and positions.csv, each at 3 / 100 / 1000 pieces. BE TOLD PLAINLY: this board's own design-rule check is FAIL - seven nets are unrouted (GND, HAT_1V8, HAT_3V3, SERVO_V, SPK_N, i2s3/DOUT, i2s3/WCLK) and one via pair violates hole-to-hole. We are asking for a price on this outline, stackup and drill count, not asserting the artwork is final.",5.03751,USD,OSH Park (US),"Turnkey ASSEMBLY price at 3 / 100 / 1000 boards: CANNOT DETERMINE. Both fabs that gave a bare-board price quote bare board only; the two that advertise assembly (JLCPCB 'From $8.00', PCBWay '$29 free shipping for 1-20pcs assembly') publish a floor with no BOM attached. A quotation against the shipped bom.csv + positions.csv is the only thing that settles it - that request is drafted in RFQ.html. | Whether OSH Park bills the bounding rectangle (3.022506 sq in) or the routed outline (3.005828 sq in): CANNOT DETERMINE - neither service page says. The bounding rectangle is used here, so every OSH Park number on this line is a CEILING by at most $0.0834 per set of three. | Surcharge to hold 0.1500 mm track on a 6 mil process, if any fab will: CANNOT DETERMINE - no fab publishes one."
