designator,value,lcsc_order_code,lcsc_link,manufacturer_mpn,quantity_1_board,quantity_100_boards,quantity_1000_boards,side,pos_x_mm,pos_y_mm,pos_rotation_deg,process_hint,status
C26,100n,C307331,https://www.lcsc.com/product-detail/C307331.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,48.717621,-11.600001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
C27,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,54.717621,-9.550001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
C28,100n,C307331,https://www.lcsc.com/product-detail/C307331.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,54.717621,-10.550001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
C29,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,48.817621,-17.350001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
C3,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,45.400001,-12.900001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
C30,100n,C307331,https://www.lcsc.com/product-detail/C307331.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,48.817621,-16.350001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
C31,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,50.942621,-19.250001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
C32,100n,C307331,https://www.lcsc.com/product-detail/C307331.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,50.942621,-18.250001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
C33,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,43.000001,-11.400001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
C34,10n,C15195,https://www.lcsc.com/product-detail/C15195.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,44.000001,-11.400001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
C35,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,54.337621,-19.275001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
C36,100n,C307331,https://www.lcsc.com/product-detail/C307331.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,54.337621,-18.275001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
C37,10u,C1691,https://www.lcsc.com/product-detail/C1691.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,52.617621,-19.825001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
C38,100n,C307331,https://www.lcsc.com/product-detail/C307331.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,48.300001,-12.600001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
C39,100n 6V3,C1525,https://www.lcsc.com/product-detail/C1525.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,32.300001,-19.200001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
C4,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,39.200001,-10.400001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
C40,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,56.400001,-14.400001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
C41,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,55.200001,-13.400001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
C42,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,56.520001,-15.400001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
C43,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,46.100001,-15.500001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
C44,10n,C15195,https://www.lcsc.com/product-detail/C15195.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,26.600001,-12.100001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
C5,10u,C1691,https://www.lcsc.com/product-detail/C1691.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,40.507381,-9.775001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
C6,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,39.200001,-21.700001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
C7,10u,C1691,https://www.lcsc.com/product-detail/C1691.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,41.300001,-22.700001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
C8,220n,C71693,https://www.lcsc.com/product-detail/C71693.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,37.200001,-21.300001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
C9,220n,C71693,https://www.lcsc.com/product-detail/C71693.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,36.200001,-21.300001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
D1,BAT54W,C78606,https://www.lcsc.com/product-detail/C78606.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,24.650001,-21.400001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
D2,3V3 Zener Diode,C19077392,https://www.lcsc.com/product-detail/C19077392.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,25.200001,-13.800001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
D4,5V1,C151348,https://www.lcsc.com/product-detail/C151348.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,1.700001,-10.400001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
FB1,1.3A 600R@100MHz,C76884,https://www.lcsc.com/product-detail/C76884.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,45.025001,-10.400001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
FB2,2A - 120R@100MHz,C88970,https://www.lcsc.com/product-detail/C88970.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,38.200001,-21.000001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
FB3,2A - 120R@100MHz,C88970,https://www.lcsc.com/product-detail/C88970.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,35.200001,-20.985001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
J1,Wago-2,C2765060,https://www.lcsc.com/product-detail/C2765060.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,36.757381,-21.700001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
J11,Dynamixel-4,C160258,https://www.lcsc.com/product-detail/C160258.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,8.600001,-19.250001,90.0,through-hole/manual assembly review,RFQ only; no production-unit match or manufacturing release
J13,Dynamixel-3,C160259,https://www.lcsc.com/product-detail/C160259.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,-1.049999,-14.950001,90.0,through-hole/manual assembly review,RFQ only; no production-unit match or manufacturing release
J14,Dynamixel-3,C160259,https://www.lcsc.com/product-detail/C160259.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,3.750001,-14.950001,90.0,through-hole/manual assembly review,RFQ only; no production-unit match or manufacturing release
J2,Wago-2,C2765060,https://www.lcsc.com/product-detail/C2765060.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,46.100001,-21.653146,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
J3,Dynamixel-4,C160258,https://www.lcsc.com/product-detail/C160258.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,13.400001,-19.250001,90.0,through-hole/manual assembly review,RFQ only; no production-unit match or manufacturing release
J4,Female Header 2x20 SMD,C2685112,https://www.lcsc.com/product-detail/C2685112.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,29.0,0.0,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
J5,JST SH,C160390,https://www.lcsc.com/product-detail/C160390.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,0.757381,-6.800001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
J6,JST SH,C160390,https://www.lcsc.com/product-detail/C160390.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,8.757381,-6.790001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
J7,JST SH,C160390,https://www.lcsc.com/product-detail/C160390.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,27.220001,-8.075001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
J8,JST SH,C160390,https://www.lcsc.com/product-detail/C160390.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,35.257381,-8.060001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
J9,Wago-2,C2765060,https://www.lcsc.com/product-detail/C2765060.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,52.500001,-21.653146,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
L4,"6,8u 2A",C57254,https://www.lcsc.com/product-detail/C57254.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,30.057381,-22.400001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
MK1,Microphone_MEMS,C7587901,https://www.lcsc.com/product-detail/C7587901.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,59.857381,-11.700001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
Q1,MMBT3906,C727128,https://www.lcsc.com/product-detail/C727128.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,23.747381,-15.237501,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
Q2,SI2312CDS-T1-GE3,C142518,https://www.lcsc.com/product-detail/C142518.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,29.100001,-23.400001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
R1,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,46.875001,-15.375001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
R12,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,0.700001,-3.600001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
R13,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,-2.099999,-4.300001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
R14,0R,C17168,https://www.lcsc.com/product-detail/C17168.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,21.700001,-6.100001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
R15,0R,C17168,https://www.lcsc.com/product-detail/C17168.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,18.300001,-6.000001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
R18,0R,C17168,https://www.lcsc.com/product-detail/C17168.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,12.300001,-4.500001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
R19,0R,C17168,https://www.lcsc.com/product-detail/C17168.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,38.600001,-5.500001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
R2,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,46.875001,-14.150001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
R20,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,8.200001,-8.000001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
R21,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,7.200001,-7.990001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
R22,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,47.100001,-14.500001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
R23,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,54.600001,-16.300001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
R24,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,23.610001,-17.700001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
R25,0R,C17168,https://www.lcsc.com/product-detail/C17168.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,22.800001,-6.100001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
R26,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,21.667381,-13.200001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
R27,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,23.167381,-12.700001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
R28,20k,C25765,https://www.lcsc.com/product-detail/C25765.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,25.300001,-16.700001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
R29,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,19.100001,-16.900001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
R3,0R,C17168,https://www.lcsc.com/product-detail/C17168.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,40.500001,-20.900001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
R31,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,16.012501,-9.950001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
R32,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,7.12,-12.887501,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
R33,150R,C138054,https://www.lcsc.com/product-detail/C138054.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,4.300001,-10.400001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
R34,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,26.892621,-9.275001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
R35,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,25.892621,-9.275001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
R38,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,34.700001,-9.360001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
R39,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,33.700001,-9.360001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
R4,0R,C17168,https://www.lcsc.com/product-detail/C17168.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,39.957381,-11.900001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
R40,0R,C17168,https://www.lcsc.com/product-detail/C17168.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,21.700001,-18.700001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
R5,0R,C17168,https://www.lcsc.com/product-detail/C17168.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,44.300001,-20.900001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
R6,10k,C25744,https://www.lcsc.com/product-detail/C25744.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,47.800001,-8.800001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
R7,0R,C17168,https://www.lcsc.com/product-detail/C17168.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,57.317621,-15.150001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
R8,100R,C2906860,https://www.lcsc.com/product-detail/C2906860.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,33.000001,-21.200001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
R9,0R,C17168,https://www.lcsc.com/product-detail/C17168.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,18.300001,-5.000001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
TH1,100R thermistor,C913703,https://www.lcsc.com/product-detail/C913703.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,1.500001,-13.700001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
TP2,TestPoint,CANNOT DETERMINE,,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,58.600001,-18.600001,0.0,through-hole/manual assembly review,RFQ only; no production-unit match or manufacturing release
TP3,TestPoint,CANNOT DETERMINE,,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,29.700001,-15.825001,90.0,through-hole/manual assembly review,RFQ only; no production-unit match or manufacturing release
TP4,TestPoint,CANNOT DETERMINE,,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,33.300001,-15.825001,90.0,through-hole/manual assembly review,RFQ only; no production-unit match or manufacturing release
U1,PAM8406D,C86270,https://www.lcsc.com/product-detail/C86270.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,39.852381,-16.175001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
U10,LM5050-1,C473393,https://www.lcsc.com/product-detail/C473393.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,29.650001,-19.700001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
U11,BMI088,C194919,https://www.lcsc.com/product-detail/C194919.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,19.995001,-9.005001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
U2,TLV320AIC3104IRHBR,C181753,https://www.lcsc.com/product-detail/C181753.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,52.850001,-14.375001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
U3,XC6206P182MR,C347373,https://www.lcsc.com/product-detail/C347373.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,53.317621,-9.650001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
U5,74LVC1G08,C7666,https://www.lcsc.com/product-detail/C7666.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,14.807381,-6.462501,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
U6,SN74LVC1G125DBV,C3040625,https://www.lcsc.com/product-detail/C3040625.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,15.962501,-12.550001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
U7,SN74LVC1G126DBVR,C7834,https://www.lcsc.com/product-detail/C7834.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,9.750001,-12.337501,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
U8,SIT3088E,C2922535,https://www.lcsc.com/product-detail/C2922535.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,18.000001,-19.300001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
U9,AP63205,C2071056,https://www.lcsc.com/product-detail/C2071056.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,25.040001,-21.400001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
Y1,12 MHz,C7425459,https://www.lcsc.com/product-detail/C7425459.html,OT3EL89CJI-111YLC-12M,1,100,1000,bottom,49.917621,-9.570001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
