part,robots,required_pieces,route,order_code,closure,material,unit_price,currency,extended_parts_only,stock_observation,quote_status,url
bearing-15x10x3,100,300,Bearings Direct / AMPEC retail,6700 (interchange MR6700),open,"SAE52100, light oil",4.131,USD,1239.3,721 pieces displayed; usually ships in 24 hours,1/100 robot demand below displayed count; 1000 robot demand exceeds by2279. 15% at50+ applied mathematically; stock and delivered quote not guaranteed,https://bearingsdirect.com/6700-ball-bearing-10x15x3-open-mr6700/
bearing-15x10x3,1000,3000,Bearings Direct / AMPEC retail,6700 (interchange MR6700),open,"SAE52100, light oil",4.131,USD,12393.0,721 pieces displayed; usually ships in 24 hours,1/100 robot demand below displayed count; 1000 robot demand exceeds by2279. 15% at50+ applied mathematically; stock and delivered quote not guaranteed,https://bearingsdirect.com/6700-ball-bearing-10x15x3-open-mr6700/
bearing-15x10x3,1,3,VXB retail,6700 Open / UPC00193019072509,open,chrome steel,7.77,USD,23.31,Structured data available=true; inventory_management=null; no quantity,"Price7.77 confirmed structured product data despite reversed visible sale labels. 30% at100+;1000+OEM has no price,30–60day text. General processing5–10business days,10USD minimum; no invented OEM price",https://vxb.com/products/6700-ball-bearing-10mm-x-15mm-x-3mm-single-row-ope
bearing-15x10x3,100,300,VXB retail,6700 Open / UPC00193019072509,open,chrome steel,5.439,USD,1631.7,Structured data available=true; inventory_management=null; no quantity,"Price7.77 confirmed structured product data despite reversed visible sale labels. 30% at100+;1000+OEM has no price,30–60day text. General processing5–10business days,10USD minimum; no invented OEM price",https://vxb.com/products/6700-ball-bearing-10mm-x-15mm-x-3mm-single-row-ope
bearing-15x10x3,1000,3000,VXB retail,6700 Open / UPC00193019072509,open,chrome steel,,USD,,Structured data available=true; inventory_management=null; no quantity,"Price7.77 confirmed structured product data despite reversed visible sale labels. 30% at100+;1000+OEM has no price,30–60day text. General processing5–10business days,10USD minimum; no invented OEM price",https://vxb.com/products/6700-ball-bearing-10mm-x-15mm-x-3mm-single-row-ope
bearing-15x10x3,1,3,"SMB, stated authorized EZO UK distributor",6700,open,chrome steel,,,,No product stock quantity observed,"RFQ; source table explicitly3mm open,4mm shielded/sealed",https://www.smbbearings.com/products/thin-section-bearings.html
bearing-15x10x3,100,300,"SMB, stated authorized EZO UK distributor",6700,open,chrome steel,,,,No product stock quantity observed,"RFQ; source table explicitly3mm open,4mm shielded/sealed",https://www.smbbearings.com/products/thin-section-bearings.html
bearing-15x10x3,1000,3000,"SMB, stated authorized EZO UK distributor",6700,open,chrome steel,,,,No product stock quantity observed,"RFQ; source table explicitly3mm open,4mm shielded/sealed",https://www.smbbearings.com/products/thin-section-bearings.html
bearing-15x10x3,1,3,ZEN manufacturer catalog,61700,open,AISI52100,,,,No stock or prices observed,RFQ manufacturer route;61700-C3 is separate clearance variant; not interchangeable without approval,https://www.zen.biz/thin-section-bearings
bearing-15x10x3,100,300,ZEN manufacturer catalog,61700,open,AISI52100,,,,No stock or prices observed,RFQ manufacturer route;61700-C3 is separate clearance variant; not interchangeable without approval,https://www.zen.biz/thin-section-bearings
bearing-15x10x3,1000,3000,ZEN manufacturer catalog,61700,open,AISI52100,,,,No stock or prices observed,RFQ manufacturer route;61700-C3 is separate clearance variant; not interchangeable without approval,https://www.zen.biz/thin-section-bearings
